_id,publisher,statementOfResp,sysNumbers,title,type
994790850102311,"Walker & Associates,","by Walker & Associates.","(TU)000479085UTK01 | 504822 | (OCoLC)09379175","Jake Butcher for governor","projected medium"
991856830102311,"Tuskegee Institute, School of Veterinary Medicine, Dept. of Radiology","Ellis Hall, JoAnne Carey.","(TU)000185683UTK01 | 202056 | (OCoLC)07266005","The use of air as a contrast medium in small animal radiology","projected medium"
991262280102311,"College of Veterinary Medicine, University of Tennessee,","by Dennis Geiser.","(TU)000126228UTK01 | 139387 | (OCoLC)06969820","Equine laryngostomy and ventriculectomy, and emergency tracheostomy.","projected medium"
994938970102311,"Warner Home Video,","released by Warner Brothers.","(TU)000493897UTK01 | 520081 | (OCoLC)09452899","Day for night","projected medium"
994403500102311,"Bailey, Deardourff & Associates?,","Bailey, Deardourff & Associates.","(TU)000440350UTK01 | 464891 | (OCoLC)09208626","Alexander spots","projected medium"
994478180102311,"King of Video,",,"(TU)000447818UTK01 | 472632 | (OCoLC)08812014","Elvis in the fifties","projected medium"
993287420102311,"s.n.,",,"(TU)000328742UTK01 | 350430 | (OCoLC)08192209","[Kefauver miscellany.","projected medium"
992088700102311,"WGBH Educational Foundation,",,"(TU)000208870UTK01 | 226774 | (OCoLC)07118939","The shirt off your back","projected medium"
995592780102311,"MCA Videocassette,","Universal Studios, Inc.","(TU)000559278UTK01 | 587502 | (OCoLC)07195818","Coal miner's daughter","projected medium"
992629040102311,"Continuing Education Library, Pitman-Moore,","by Susan J. Updike.","(TU)000262904UTK01 | 283063 | (OCoLC)07917241","Anatomy of the canine stifle","projected medium"
991065480102311,"The Company,","Eli Lilly and Company ; [produced by] Wexler Films.","(TU)000106548UTK01 | 118123 | (OCoLC)05138079","The Dynamic kidney","projected medium"
994454360102311,"University Media,","BBC-TV/Open University.","(TU)000445436UTK01 | 470107 | (OCoLC)09239455","Evolution of an ocean","projected medium"
992041770102311,"Somerset House, 1980.","Joseph Long.","(TU)000204177UTK01 | 221474 | (OCoLC)07342990","ThÃ©Ã¢tre des variÃ©tÃ©s","projected medium"
995527220102311,,,"(TU)000552722UTK01 | 580382",Dictionary,"three-dimensional artifact or naturally occurring object"
992562140102311,"College of Veterinary Medicine, University of Tennessee,","author, Mark P. Nasisse ; assistant Caroline Bundy.","(TU)000256214UTK01 | 276250 | (OCoLC)07845890","The technique of conjunctival and corneal scraping for ocular cytology","projected medium"
995598430102311,"s.n.,","a production of the Child Guidance Center of Greater Cleveland.","(TU)000559843UTK01 | 588146 | (OCoLC)11275165","Management of a crisis in adolescent group therapy","projected medium"
995392610102311,"Ramic Productions,","Eden Ryl ; made by Ramic Productions.","(TU)000539261UTK01 | 566561 | (OCoLC)05646978","You can surpass yourself.","projected medium"
991183980102311,"The Society,","Japan Society, inc.","(TU)000118398UTK01 | 131324 | (OCoLC)06899222","Shinto : nature, gods, and man in Japan.","projected medium"
992017150102311,"Movietonews, Inc.,","narrated by Joe King.","(TU)000201715UTK01 | 218690 | (OCoLC)07325658","The Kefauver crime investigation","projected medium"
995578290102311,,,"(TU)000557829UTK01 | 585852","National holidays around the world","three-dimensional artifact or naturally occurring object"
995547290102311,"MGM/UA Home Video,",,"(TU)000554729UTK01 | 582542 | (OCoLC)10405581","A Doll's house","projected medium"
995406520102311,,,"(TU)000540652UTK01 | 567996","The imitation of Christ in four books","three-dimensional artifact or naturally occurring object"
993818650102311,"Time-Life Video,","British Broadcasting Corporation in association with Time-Life Television.","(TU)000381865UTK01 | 404499 | (OCoLC)08698355","King Lear","projected medium"
995609630102311,,,"(TU)000560963UTK01 | 589410","The hat-shaking dance and other tales from the Gold Coast","three-dimensional artifact or naturally occurring object"
995651740102311,,,"(TU)000565174UTK01 | 594008","Stories from the Arabian nights","three-dimensional artifact or naturally occurring object"
994312090102311,"IMAJ Film Library],","by James Ackerman and Kathleen Weil Garris.","(TU)000431209UTK01 | 455580 | (OCoLC)05586561","Looking for Renaissance Rome.","projected medium"
995632530102311,,,"(TU)000563253UTK01 | 591862","Stitchery for children","three-dimensional artifact or naturally occurring object"
994513550102311,"The Agency : distributed by National Audiovisual Center,","United States Agricultural Adjustment Agency.","(TU)000451355UTK01 | 476274 | (OCoLC)05895346","The Land.","projected medium"
994144300102311,"Time-Life Multimedia],","BBC Television Production in association with Time-Life Television.","(TU)000414430UTK01 | 438416 | (OCoLC)07231859","The Merchant of Venice","projected medium"
995496520102311,,"James R. Stokley Institute for Liberal Arts Education.","(TU)000549652UTK01 | 577228 | (OCoLC)09606877","Appalachia in perspective a faculty seminar /","projected medium"
992593540102311,"The Dept.,","U.S. Dept. of the Navy.","(TU)000259354UTK01 | 279459 | (OCoLC)06155837","The fleet that came to stay.","projected medium"
995323810102311,"Appalshop Films,","produced by Appalshop, Inc.","(TU)000532381UTK01 | 559474 | (OCoLC)09922436","Strip mining energy, environment, and economics /","projected medium"
993836980102311,"Public Broadcasting Associates and British Broadcasting Company, ; | Distributed by PBS Video,",,"(TU)000383698UTK01 | 406367 | (OCoLC)06660216","The Incas.","projected medium"
995630520102311,,,"(TU)000563052UTK01 | 591632","Elementary creative bullitin boards","three-dimensional artifact or naturally occurring object"
994513560102311,"The Office : distributed by National Audiovisual Center,","United States Office of War Information, Overseas Branch.","(TU)000451356UTK01 | 476277 | (OCoLC)06602445","Valley of the Tennessee.","projected medium"
995281330102311,"Circle Oak Productions,","Jim Gabriel Productions ; producer, director, Jim Gabriel ; writer, Rachel Giese.","(TU)000528133UTK01 | 555116 | (OCoLC)10302330","Portrait of a coast","projected medium"
995542090102311,"University Media,","production for the Open University [by] BBC-TV.","(TU)000554209UTK01 | 582003 | (OCoLC)11223286","Drifting continents","projected medium"
992075180102311,"The Agency : distributed by National Audiovisual Center,","International Communication Agency.","(TU)000207518UTK01 | 225255 | (OCoLC)06332739","Reflections--Margaret Mead.","projected medium"
995253120102311,"20th Century Fox Video,","with Kenneth Blanchard.","(TU)000525312UTK01 | 552255 | (OCoLC)08901260","The one minute manager","projected medium"
995386830102311,"Pyramid Films,","Kaiser Aluminum and Chemical Corp. ; made by Saul Bass and Associates.","(TU)000538683UTK01 | 565872 | (OCoLC)05121039","Why man creates.","projected medium"
994865820102311,"Energy Opportunities Consortium,","Energy, Environment, and Resources Center, University of Tennessee.","(TU)000486582UTK01 | 512593 | (OCoLC)06425011","Aggressive energy management.","projected medium"
993708100102311,"Perspective Films,",,"(TU)000370810UTK01 | 393270 | (OCoLC)05233187","Eudora Welty.","projected medium"
994128120102311,"The Agency : distributed by National Audiovisual Center,","United States International Communication Agency.","(TU)000412812UTK01 | 436601 | (OCoLC)05888436","Roy Wilkins : the right to dignity","projected medium"
994480050102311,"Pyramid Films,","by Jon Else.","(TU)000448005UTK01 | 472829 | (OCoLC)07817610","The day after trinity","projected medium"
994932030102311,"CRM/McGraw-Hal Films,","CRM Productions.","(TU)000493203UTK01 | 519366 | (OCoLC)09350299","Communicating non-defensively don't take it personally /","projected medium"
994380530102311,"Encyclopaedia Britannica Educational Corp.,",,"(TU)000438053UTK01 | 462556 | (OCoLC)05551464","The San Andreas Fault.","projected medium"
994380560102311,"Media Guild,","produced by BBC-TV, Open University.","(TU)000438056UTK01 | 462559 | (OCoLC)09188424","Spreading oceans","projected medium"
995269360102311,"Films Incorporated,","a co-production of BBC-TV, RM Productions and WNET, New York.","(TU)000526936UTK01 | 553899","The Discovery of animal behaviour","projected medium"
992197130102311,"Nostalgia Merchant,","RKO Radio Pictures, Inc.","(TU)000219713UTK01 | 238865 | (OCoLC)06069299","The Magnificent Ambersons","projected medium"
993990940102311,"Soil Science Society of America,",,"(TU)000399094UTK01 | 422235 | (OCoLC)03618785","Cation exchange properties of soils.","projected medium"
994908780102311,"Films Incorporated,","Wolper Productions.","(TU)000490878UTK01 | 516978 | (OCoLC)09845000","The Rise and fall of the Third Reich.","projected medium"
995632710102311,,,"(TU)000563271UTK01 | 591883","Creative geometry experiments","three-dimensional artifact or naturally occurring object"
995632490102311,,,"(TU)000563249UTK01 | 591858","Lets build","three-dimensional artifact or naturally occurring object"
994981630102311,"Hollywood Home Theatre,","Viking Productions.","(TU)000498163UTK01 | 524467 | (OCoLC)09478756","Our daily bread","projected medium"
993830530102311,"Primetime Television in association with Channel Four Great Britain and RM Productions,","adapted by David Edgar from the novel by Charles Dickens.","(TU)000383053UTK01 | 405711 | (OCoLC)08376604","The Life and adventures of Nicholas Nickleby","projected medium"
994998130102311,"U.S. Army Air Forces,",,"(TU)000499813UTK01 | 526145 | (OCoLC)10306938","China crisis","projected medium"
992228020102311,"Time-Life Multimedia,","BBC Television in association with Time-Life Television.","(TU)000222802UTK01 | 242234 | (OCoLC)07449131","All's well that ends well","projected medium"
991178070102311,"Educational Enrichment Materials,",,"(TU)000117807UTK01 | 130719 | (OCoLC)06770546","The American labor movement : a fight for human dignity.","projected medium"
995573730102311,,,"(TU)000557373UTK01 | 585361","North Atlantic jet flight","three-dimensional artifact or naturally occurring object"
995486040102311,,,"(TU)000548604UTK01 | 576166","Manufacturers record featuring Tennessee","three-dimensional artifact or naturally occurring object"
995132910102311,,,"(TU)000513291UTK01 | 540052","English fairy tales","three-dimensional artifact or naturally occurring object"
995571500102311,"MGM/UA Home Video,","Tele-Culture presents, a Vandham Productions, Ltd. ; [written and directed by Rainer Werner Fassbinder].","(TU)000557150UTK01 | 585112 | (OCoLC)11218259","Berlin Alexanderplatz","projected medium"
995609760102311,,,"(TU)000560976UTK01 | 589424","The Presidency","three-dimensional artifact or naturally occurring object"
994106950102311,"ABC TV News,","[Estes Kefauver and Eleanor Roosevelt ; issued by] Stevenson-Kefauver Campaign Committee.","(TU)000410695UTK01 | 434403 | (OCoLC)07375187","[Estes Kefauver and Eleanor Roosevelt]","projected medium"
995650790102311,,,"(TU)000565079UTK01 | 593909","The wonder smith and his son","three-dimensional artifact or naturally occurring object"
995389110102311,,,"(TU)000538911UTK01 | 566155","Applied Psychology monographs","three-dimensional artifact or naturally occurring object"
995194180102311,"Time-Life Video,","Laybourne/Lemle, Inc. in association with WQED Pittsubrgh.","(TU)000519418UTK01 | 546269 | (OCoLC)08439453","Political spots","projected medium"
994771470102311,"Metromedia Producers Corp. | Released by McGraw-Hill,",,"(TU)000477147UTK01 | 502848 | (OCoLC)05553292","Future shock.","projected medium"
994353580102311,"Educational Media International,","introduced by Brian Skinner.","(TU)000435358UTK01 | 459782 | (OCoLC)09165185","The Geology of Southern Africa /","projected medium"
995609360102311,,,"(TU)000560936UTK01 | 589382","United Nations NY Photos","three-dimensional artifact or naturally occurring object"
994981610102311,"Blackwood Productions",,"(TU)000498161UTK01 | 524465 | (OCoLC)03329055","The New York School.","projected medium"
993359350102311,"Time-Life Multimedia,",WGBH.,"(TU)000335935UTK01 | 357747 | (OCoLC)07534570","The sea behind the dunes","projected medium"
995641770102311,,,"(TU)000564177UTK01 | 592933","To read & to tell","three-dimensional artifact or naturally occurring object"
994771440102311,"Dartnell Corp.,","produced for Dartnell by Gerald T. Rogers Productions.","(TU)000477144UTK01 | 502844 | (OCoLC)09372228","The Troubled employee","projected medium"
992109840102311,"Pitman-Moore, Inc.,","Robert L. Peiffer.","(TU)000210984UTK01 | 229135 | (OCoLC)07148180","Determination of intraocular pressure (IOP) in small animal practice","projected medium"
994111040102311,"s.n.,","[Estes Kefauver]","(TU)000411104UTK01 | 434834 | (OCoLC)07378908","Senator Kefauver campaign issues","projected medium"
995578720102311,,,"(TU)000557872UTK01 | 585899","Merry Christmas to you","three-dimensional artifact or naturally occurring object"
995008330102311,"Malibu Films,","Wilhite Productions ; made by Jim and Pat Wilhite.","(TU)000500833UTK01 | 527206 | (OCoLC)05606564","Sorry, no vacancy.","projected medium"
993990980102311,"Memphis, TN : Center for Southern Folklore,","by William Ferris.","(TU)000399098UTK01 | 422241 | (OCoLC)08418433","Two Black churches","projected medium"
995237160102311,,,"(TU)000523716UTK01 | 550620","These Plummer children","three-dimensional artifact or naturally occurring object"
995093630102311,,,"(TU)000509363UTK01 | 536003","Are you there God Its me Margaret","three-dimensional artifact or naturally occurring object"
992629050102311,"Continuing Education Library, Pitman-Moore,","G.L. Blanchard.","(TU)000262905UTK01 | 283067 | (OCoLC)07917544","Ophthalmoscopic interpretation of fundic lesions in animals","projected medium"
994480060102311,"King of Video,",,"(TU)000448006UTK01 | 472830 | (OCoLC)08699043","Elvis '68 comeback","projected medium"
995539850102311,"Harold Zirin. | Released by California Institute of Technology,",,"(TU)000553985UTK01 | 581769 | (OCoLC)05598372","The Solar atmosphere. [Motion picture]","projected medium"
995174630102311,"Time Life Video,","WGBH ; produced, written and directed by Sari Sapri.","(TU)000517463UTK01 | 544294 | (OCoLC)08718843","Aging-- the methuselah syndrome","projected medium"
995668760102311,,,"(TU)000566876UTK01 | 595936","The dark frigate","three-dimensional artifact or naturally occurring object"
995589030102311,"Doubleday : | Dell",,"(TU)000558903UTK01 | 587065","The Whispering Mountain","three-dimensional artifact or naturally occurring object"
994771460102311,"CRM Productions,",,"(TU)000477146UTK01 | 502847 | (OCoLC)05548468","Moral development.","projected medium"
995578600102311,,,"(TU)000557860UTK01 | 585885","The childrens book of Christmas stories","three-dimensional artifact or naturally occurring object"
995174620102311,"Time-Life Video,","WGBH-TV ; director, Veronica L. Young.","(TU)000517462UTK01 | 544291 | (OCoLC)07534555","The Pinks and the blues","projected medium"
992041750102311,"Chadwyck-Healey ;","Richard Cave.","(TU)000204175UTK01 | 221472 | (OCoLC)07342838","Terence Gray and the Cambridge Festival Theatre","projected medium"
992126620102311,"Purdue University, School of Veterinary Medicine","S.J. Birchard, R.M. Bright.","(TU)000212662UTK01 | 231019 | (OCoLC)07154404","Intestinal anastomosis : current techniques","projected medium"
995609330102311,,,"(TU)000560933UTK01 | 589379","The United Nations","three-dimensional artifact or naturally occurring object"
991212150102311,"College of Veterinary Medicine, University of Tennessee,","D.J. Krahwinkel ; technical advisers: Jack Oliver & Michael Sims.","(TU)000121215UTK01 | 134221 | (OCoLC)06931240","Cannulation of vessels, ureters and pancreatic ducts : surgical procedures useful for physiological and pharmacological experimentation","projected medium"
992136100102311,"Pitman-Moore, Inc.,","Brent D. Jones ; narrative by Patricia Laferty.","(TU)000213610UTK01 | 232079 | (OCoLC)07182249","Proctoscopy and colonoscopy in small animal veterinary medicine","projected medium"
995630650102311,,,"(TU)000563065UTK01 | 591646","Dancing time","three-dimensional artifact or naturally occurring object"
993048670102311,"Encyclopaedia Britannica Films,",,"(TU)000304867UTK01 | 326102 | (OCoLC)04236224","Shakespeare's theater.","projected medium"
993306200102311,"Memphis/Shelby County Public Library & Information Center,","director, Jack Yoakum ; Community Information Channel of Memphis, Shelby County Public Library and Information Center.","(TU)000330620UTK01 | 352338 | (OCoLC)42303542","Talking leaves a regional focus /","projected medium"
992097290102311,"Television Services, University of Tennessee,",,"(TU)000209729UTK01 | 227753 | (OCoLC)07139194","Estes Kefauver and highlights of 1956 Democratic Convention.","projected medium"
993962970102311,"Crop Science Society of Ameerica,","senior author, R.W. Duell ... [et al.]","(TU)000396297UTK01 | 419258 | (OCoLC)04864791","Roadside turfgrass : establishment, maintenance, and associated vegetation.","projected medium"
996319470102311,"Columbia Pictures Home Entertainment,","a film by Costa-Gavras ; written by Franco Solinas.","(TU)000631947UTK01 | 664645 | (OCoLC)09190720","State of siege","projected medium"
995733060102311,,,"(TU)000573306UTK01 | 603044","Eight little plays for children","three-dimensional artifact or naturally occurring object"
996274090102311,"University of Pittsburgh,","prepared by Ralph C. Croizier and Joan Lebold Cohen.","(TU)000627409UTK01 | 660033 | (OCoLC)10281000","Chinese art after Mao a slide presentation with accompanying commentary /","projected medium"
996400840102311,"Hollywood Home Theatre,","adapted and directed by Robert Enrico ; produced by Marcel Ichac and Paul de Roubaix.","(TU)000640084UTK01 | 672942 | (OCoLC)11000253","An Occurrence at Owl Creek Bridge","projected medium"
995744250102311,"Encyclopaedia Britannica Educational Corp.,",,"(TU)000574425UTK01 | 604248 | (OCoLC)07006668","The Water cycle.","projected medium"
996282500102311,"University of California Extension Media Center,","presented by Poetry Playhouse ; executive producer, Barbara Wolfinger.","(TU)000628250UTK01 | 660897 | (OCoLC)31452330","Black girl","projected medium"
996463370102311,"Music Media,","David Bowie.","(TU)000646337UTK01 | 679290 | (OCoLC)12485019","Serious moonlight","projected medium"
995699020102311,,,"(TU)000569902UTK01 | 599368","Just so stories","three-dimensional artifact or naturally occurring object"
995745580102311,"MGM/UA Home Video,","Delilah Films production ; produced by Stephanie Bennett and Patrick Montgomery ; directed by Patrick Montgomery ; written by David Silver.","(TU)000574558UTK01 | 604401 | (OCoLC)09564936","The Compleat Beatles","projected medium"
996101360102311,"Direct Cinema,","National Film Board of Canada ; producer, Edward Le Lorrain ; director, Terri Nash.","(TU)000610136UTK01 | 641930 | (OCoLC)09785409","If you love this planet Dr. Helen Caldicott on nuclear war /","projected medium"
995720110102311,"Transtrade,","by Christopher Hill ; [produced by] Sussex Video.","(TU)000572011UTK01 | 601634 | (OCoLC)09901235","Was Cromwell a revolutionary?","projected medium"
996365200102311,"Thorn EMI Video,","Dave Clark (London) Limited.","(TU)000636520UTK01 | 669284 | (OCoLC)10950547","Ready, steady, go!","projected medium"
996285060102311,"Chelsea House Educational Communications,",,"(TU)000628506UTK01 | 661158 | (OCoLC)02957284","Richard M. Nixon","projected medium"
996326510102311,"The Foundation,","Hartley Film Foundation, Inc. ; producer, director, and writer, Elda Hartley.","(TU)000632651UTK01 | 665361 | (OCoLC)09042235","How to change the world, inspired by the thought of Teilhard de Chardin","projected medium"
996413590102311,"RCA/Columbia Pictures Home Video,","RCA Video Productions, Inc.","(TU)000641359UTK01 | 674237 | (OCoLC)11547207","The Daryl Hall & John Oates video collection 7 big ones /","projected medium"
996101380102311,"CRM/McGraw-Hill Films,","National Film Board of Canada.","(TU)000610138UTK01 | 641932 | (OCoLC)10222152","Who wants unions?","projected medium"
995675290102311,,,"(TU)000567529UTK01 | 596617","Pilgrim Thanksgiving","three-dimensional artifact or naturally occurring object"
995822750102311,"Filmakers Library,","Josephine Hayes Dean.","(TU)000582275UTK01 | 612613 | (OCoLC)09943799","Home, sweet homes kids talk about joint custody /","projected medium"
996285120102311,"Wayne Ewing Films,",,"(TU)000628512UTK01 | 661164 | (OCoLC)04310167","If elected ...","projected medium"
996237400102311,"University of Toronto Press,","Centre for Medieval Studies, University of Toronto.","(TU)000623740UTK01 | 656067 | (OCoLC)09594417","The Sutton Hoo ship burial","projected medium"
996367420102311,"National Geographic Society,",,"(TU)000636742UTK01 | 669511 | (OCoLC)05554504","Earth: the restless planet.","projected medium"
996410700102311,"Science-Thru-Media, Inc.,","Michael A. Arthur.","(TU)000641070UTK01 | 673946 | (OCoLC)12438868","Notions of stinking oceans? models for organic carbon burial during cretaceous ""anoxic events"" /","projected medium"
995969320102311,"Broadside Press,","Margaret McClellan.","(TU)000596932UTK01 | 628125","Ernest East","projected medium"
995874040102311,,,"(TU)000587404UTK01 | 618124","Richard Scarrys funniest storybook ever","three-dimensional artifact or naturally occurring object"
996368360102311,"U.S.A. Home Video,","Television Syndications, Inc.","(TU)000636836UTK01 | 669609 | (OCoLC)11176680","Mellow memories","projected medium"
995814250102311,"Paramount Home Video,","Paramount Pictures Corp.","(TU)000581425UTK01 | 611677 | (OCoLC)11238172","Romeo and Juliet","projected medium"
996002010102311,"Released by National Audiovisual Center,","U.S. Atomic Energy Commission; in collaboration with the Venezuelan Institute of Scientific Investigation ; [made by] Center for Documentary Anthropology, Brandeis University, and Dept. of Human Genetics, University of Michigan.","(TU)000600201UTK01 | 631525 | (OCoLC)03260517","The feast.","projected medium"
996158460102311,"Films for the Humanities,",,"(TU)000615846UTK01 | 647913 | (OCoLC)09175224","Speaking Shakespearean verse","projected medium"
996276210102311,"Newsweek, Inc.,",,"(TU)000627621UTK01 | 660255 | (OCoLC)07684428","How nations are governed theory and practice.","projected medium"
996368350102311,"U.S.A. Home Video,","Television Syndications, Inc.","(TU)000636835UTK01 | 669607 | (OCoLC)11178312","The Soul experience","projected medium"
996389660102311,"RKO Radio Pictures,","Liberty Films.","(TU)000638966UTK01 | 671789 | (OCoLC)03347588","It's a wonderful life.","projected medium"
996461170102311,,"Richard Marius.","(TU)000646117UTK01 | 679068 | (OCoLC)12570739","A writers' inspiration, Appalachia","projected medium"
995867130102311,,,"(TU)000586713UTK01 | 617402","How the Grinch stole Christmas","three-dimensional artifact or naturally occurring object"
995692740102311,,,"(TU)000569274UTK01 | 598690","Facts about the Presidents","three-dimensional artifact or naturally occurring object"
995766330102311,,,"(TU)000576633UTK01 | 606628 | (OCoLC)11365887","[Photographs of Norris Dam construction.]","projected medium"
995942390102311,"Western History Center, University of Utah,",,"(TU)000594239UTK01 | 625305 | (OCoLC)11482303","[Grand Canyon and Havasupai photographs.]","projected medium"
996265040102311,"Science-Thru-Media Co.,","by Volkmar Schmidt ; sponsored by the American Association of Petroleum Geologists.","(TU)000626504UTK01 | 659099 | (OCoLC)06385873","Secondary reservoir porosity in the course of sandstone diagenesis.","projected medium"
995895110102311,"The Company,","Research Press Company ; [produced by] Norman Baxley and Associates ; producer and director, Norman Baxley.","(TU)000589511UTK01 | 620363 | (OCoLC)09042440","Rational emotive therapy","projected medium"
996365610102311,"Scholastic Book Service,",,"(TU)000636561UTK01 | 669328 | (OCoLC)05548598","Scholastic's Black culture program","projected medium"
996266940102311,"American Association of Petroleum Geologists [distributor] ;","Robert E. Sheriff.","(TU)000626694UTK01 | 659303 | (OCoLC)11752392","Structural interpretation of seismic data","projected medium"
996252120102311,,,"(TU)000625212UTK01 | 657658","Rime burlesche","three-dimensional artifact or naturally occurring object"
995895150102311,"Education Development Center,","S. Allen Counter and David Evans.","(TU)000589515UTK01 | 620367 | (OCoLC)09064387","I shall moulder before I shall be taken a story of afro-American defiance /","projected medium"
996368370102311,"Continental Video,","Canada Offshore Cinema, Ltd. and Media Aides Limited.","(TU)000636837UTK01 | 669610 | (OCoLC)11182911","Heartland reggae","projected medium"
995870270102311,,,"(TU)000587027UTK01 | 617720","Andy and the lion","three-dimensional artifact or naturally occurring object"
996266960102311,"Science-Thru-Media, Inc. [production company] ; | American Association of Petroleum Geologists [sponsor and distributor],","Edward D. Pittman.","(TU)000626696UTK01 | 659305 | (OCoLC)10565301","Diagenesis key to pore geometry and reservoir potential of sandstones /","projected medium"
996288010102311,"BFA Educational Media,","produced by CBS News.","(TU)000628801UTK01 | 661456 | (OCoLC)05743750","Justice Black and the Bill of rights.","projected medium"
996366520102311,"MGM/UA Home Video,","Transfilm Productions; produced and directed by Etienne Mirlese.","(TU)000636652UTK01 | 669420 | (OCoLC)11710917","The Other side of Nashville","projected medium"
996446420102311,"International Historic Films,","by Sergei Prokofyev.","(TU)000644642UTK01 | 677563 | (OCoLC)11893481","Cinderella a ballet /","projected medium"
996457420102311,"Geoimages,",,"(TU)000645742UTK01 | 678691 | (OCoLC)12568115","The Evolution of the southern oceans","projected medium"
995874820102311,,,"(TU)000587482UTK01 | 618203","Little bears visit","three-dimensional artifact or naturally occurring object"
996437840102311,"Center for Humanities,",,"(TU)000643784UTK01 | 676699 | (OCoLC)05226870","Why man creates man, the measure of all things.","projected medium"
995809030102311,"William Susman. | Released in the U.S. by Tricontinental Film Center,",,"(TU)000580903UTK01 | 611141 | (OCoLC)05555705","Mexico: the frozen revolution.","projected medium"
995702400102311,"s.n.,","David Bone.","(TU)000570240UTK01 | 599727 | (OCoLC)10297897","Castration of the dog","projected medium"
995888280102311,"Cally Curtis Co.,",,"(TU)000588828UTK01 | 619624 | (OCoLC)05648521","A Perfectly normal day.","projected medium"
996367470102311,"The Society,","National Geographic Society.","(TU)000636747UTK01 | 669517 | (OCoLC)06890495","Our dynamic Earth.","projected medium"
995744260102311,"The Corporation,","Encyclopaedia Britannica Educational Corporation ; producer, director, Bert Van Bork ; writer, James Clark.","(TU)000574426UTK01 | 604249 | (OCoLC)09476701",Groundwater,"projected medium"
996230200102311,"Salenger Educational Media,","Salenger Educational Media.","(TU)000623020UTK01 | 655322 | (OCoLC)09042697","Dealing with angry customers","projected medium"
996406910102311,"Internatinal Rice Research Institute,",,"(TU)000640691UTK01 | 673561 | (OCoLC)12434553","[Field problems of tropical rice","projected medium"
995898450102311,"University Media","an Open University production.","(TU)000589845UTK01 | 620719 | (OCoLC)11449876","From periodotite to granite","projected medium"
996395960102311,"Time-Life Multimedia,","Time-Life Films and 20th Century-Fox TV.","(TU)000639596UTK01 | 672449 | (OCoLC)05890361","Life goes to the movies","projected medium"
995870860102311,,,"(TU)000587086UTK01 | 617782","The twenty-fourth book of the Iliad","three-dimensional artifact or naturally occurring object"
996341930102311,"Harper & Row, Publishers,",,"(TU)000634193UTK01 | 666931 | (OCoLC)03501729","Women artists a historical survey (early Middle Ages to 1900).","projected medium"
996463380102311,"CBS/FOX Video,","Profile Publishing and Management Corporation.","(TU)000646338UTK01 | 679291 | (OCoLC)09447876","The Who rocks America, 1982 American tour","projected medium"
